11
boston,0,1004,1753,2752,3017,1520,1507,609,3155,448,1
chicago,1004,0,921,1780,2048,1397,919,515,2176,709,2
dallas,1753,921,0,1230,1399,1343,517,1435,2234,1307,3
las vegas,2752,1780,1230,0,272,2570,1732,2251,1322,2420,4
los angeles,3017,2048,1399,272,0,2716,1858,2523,1278,2646,5
miami,1520,1397,1343,2570,2716,0,860,1494,3447,1057,6
new orleans,1507,919,517,1732,1858,860,0,1307,2734,1099,7
toronto,609,515,1435,2251,2523,1494,1307,0,2820,571,8
vancouver,3155,2176,2234,1322,1278,3447,2734,2820,0,2887,9
washington DC,448,709,1307,2420,2646,1057,1099,571,2887,0,10
detroit,448,709,1307,2420,2646,1057,1099,571,2887,11,0
