1466 2204 44460 Greystones, Ireland
2226 838 110051 Milan, Italy
1397 1166 37854 Red Bank, NJ
1337 1545 149545 Warsaw, Poland
330 736 23905 Lima, Peru
2438 2170 81886 Middlebury, VT
1103 1573 74412 Halstead, Essex, England
523 1660 115528 Heiloo, Netherlands
2712 1057 9992 Ras al-Khaimah, U.A.E.
103 1051 46399 Rockwall, TX
1901 2456 138596 Marburg, Germany
2070 1931 81041 Folkestone, England
2264 329 42538 Ciudad del Este, Paraguay
787 2258 104437 Newburgh, IN
2949 1084 42231 Round Lake Beach, IL
2584 1721 80518 Karlskrona, Sweden
2867 2101 135665 Las Cruces, NM
522 2696 83067 Canton, OH
2792 993 18184 Wolverhampton, England
2875 1270 119259 Palm Coast, FL
1778 1214 141029 Culiacn, Mexico
602 308 11159 Denpasar, Indonesia
403 253 130550 Cortex, CO
857 1838 126608 Muskogee, OK
19 118 3334 Campana, Argentina
1487 2531 84341 Gravesend, Kent, England
1523 2518 183341 Cold Lake, Canada
2183 464 96179 Corsham, England
1422 456 61939 Watonga, OK
603 47 149538 Lake Bluff, IL
1478 1213 85199 Keszthely, Hungary
1467 1612 180858 Forest Grove, OR
758 1846 117928 Lee's Summit, MO
2292 2791 163974 Bergen, Norway
911 634 53796 Plymouth, England
1810 2010 179133 Camp Verde, AZ
2506 2297 7249 Lake Macquarie, Australia
421 2425 38709 Brighton, England
1077 2244 148219 Galion, OH
1411 2381 139108 Kemerovo, Siberia, Russia
1879 2855 161483 Istanbul, Turkey
1422 2959 1779 London, ONT, Canada
32 905 18396 Fort Walton Beach, FL
2795 260 10311 Skopje, Macedonia
1182 1643 148690 Zanzibar, Africa
1270 494 16947 Bournemouth, England
2837 1294 125286 Gilroy, CA
122 1075 198640 Landshut, Germany
1238 1736 157070 Key Largo, FL
1572 418 106815 Dordrecht, Netherlands
2162 2215 100031 Canosa di Puglia, Italy
843 1269 2269 Trollhttan, Sweden
1866 618 118696 Wagin, W.Australia
864 2028 176931 Menlo Park, CA
2201 2080 68938 Aracaju, Brazil
1672 255 121955 Brasilia, Brazil
136 2206 112739 Alameda, CA
1002 622 18440 Jablonec nad Nisou, Czech Republic
3 2569 33621 Fort Saskatchewan, Canada
73 2332 63589 Cedar Springs, MI
1173 2758 62773 North Palm Beach, FL
867 669 199155 Richland, WA
613 2487 176004 Kansas City, MO
1732 1920 73222 Leipzig, Germany
2204 447 52780 Anadarko, OH
2511 238 110124 Mission Viejo, CA
1436 2811 91759 Fort Smith, AR
2884 375 178834 Columbia, MO
16 304 80552 Belluno, Italy
480 2473 153322 Carlisle, MA
2281 2938 13661 Garden City, KS
31 2859 194788 Prestwick, Scotland UK
2060 2186 125561 Sonoma, CA
2867 388 87831 Santa Cruz, CA
2694 2826 110871 Fitchburg, MA
1021 2585 181347 Chino Hills, CA
1803 2214 156829 Eggby, Sweden
1944 2930 192878 Huntington, WV
1775 1086 114509 Rugeley, England
500 2986 5908 Valencia, Spain
1397 2254 192669 Auburn, AL
2444 1264 8178 Uxbridge, England
1462 781 11263 Sebring, FL
2296 1495 6208 Farmingdale, NJ
1271 1185 121939 Augusta, W.Australia
683 491 146025 Mission, TX
1211 2044 3511 New Haven, MO
2275 13 155297 Crail, Fife, Scotland
943 2712 177066 Ocklawaha, FL
845 2761 108810 Cozumel, Mexico
2724 1398 125956 Toulon, France
2261 430 85598 Murray, NE
2198 1846 164260 Parkes, Australia
1216 84 111325 Gisborne, New Zealand
2010 264 1675 Spokane, WA
62 1232 197590 Granbury, TX
2647 2888 183660 Emmaus, PA
1708 2844 109792 Guetersloh, Germany
2563 993 27513 Cuzco, Peru
1602 2725 22043 Al-'Ayn, A.D., U.A.E.
2388 1906 173671 Bologna, Italy
2042 1447 54912 Rize, Turkey
1230 27 150475 Lugano, Switzerland
1304 277 180528 Bombay, India
1205 404 8491 Christiansburg, VA
514 1774 59243 Dumfries, Scotland, UK
1915 357 185433 Quito, Ecuador
1608 1534 49044 Avila, Spain
2531 1948 46366 Whitmore Lake, MI
2940 878 44496 Eltville, Germany
2774 2019 125447 Watford, ON, Canada
1372 103 104781 Boca del Cielo, Mexico
2535 136 183701 Mason City, IA
2369 2688 83430 Robinson, IL
56 787 68745 Baie-Comeau, Canada
2091 968 43373 Newark, CA
1295 637 115096 Skowhegan, ME
2085 2491 39319 Canton, IL
1362 1964 183819 Blakeslee, PA
820 1377 95147 Murcia, Spain
237 902 190220 Delran, NJ
2248 2216 128218 Cookstown, ON, Canada
243 2626 186090 Fayetteville, NC
2004 554 157976 Fremont, CA
1507 2595 115109 Kendal, England
2054 1432 187108 Wubin, W.Australia
103 2083 118478 Dhaka, Bangladesh
2717 1549 8065 Corbeil-Essonnes, France
1754 2631 97147 Jonesboro, AR
315 2477 6330 Hartford, CT
207 909 62045 Chennai, India
922 1696 146408 Depew, NY
1476 9 7783 Hattiesburg, MS
2343 1189 36027 Struer, Denmark
276 2949 146544 Prince George, Canada
1257 1029 25693 Warrnambool, V, Australia
827 118 27189 Bountiful, UT
2124 1542 133749 Newport, TN
1548 78 20830 Paintsville, KY
1092 2097 9813 Cascavel, Par., Brazil
1853 1090 144743 Emlichheim, Germany
1706 2626 172203 Chinandega, Nicaragua
974 2988 180360 Earlysville, VA
1533 2725 189234 Boston, MA
2117 983 102450 Baton Rouge, LA
905 513 181315 Sacramento, CA
2655 2162 114599 Capac, MI
2662 1155 23672 Dhahran, Saudi Arabia
1576 2091 93969 Benton City, WA
2974 1652 135454 San Antonio, TX
1386 420 82418 Blythe, CA
261 2931 64049 Augusta, ME
1604 2337 158651 Kaiserslautern, Germany
1053 1686 157178 Caracas, Venezuela
1057 1586 135802 Cap-de-la-Madeleine, QU, Canada
872 329 193769 Bronson, MI
61 1476 99853 Dunfermline, England
80 82 147620 St. Clair, MI
116 941 63680 Marlborough, MA
1061 2028 95191 Chihuahua, Mexico
1879 972 101079 Campbell, CA
1335 1537 14939 Fernandina Beach, FL
2381 2692 49692 Johannesburg, South Africa
2683 733 86494 Ljungby, Sweden
774 182 17203 Westfield, NJ
1998 1182 69890 Milpitas, CA
968 1149 123151 Brunswick, ME
816 1824 129620 Barstow, CA
875 1216 179407 Saint Marys, PA
1875 409 33903 Wise, VA
1143 772 128350 Cullar, Spain
2760 430 154348 Atascadero, CA
2854 950 114871 Hemlock, MI
2377 202 194033 Fort Kent, ME
2169 904 134641 Lismore, NSW, Australia
2571 356 26830 Mineola, NY
829 981 69142 Geissen, Germany
774 2291 10774 Barnegat, NJ
2151 2883 194935 Stayton, OR
2665 256 72346 Merrill, IA
2544 603 170757 Bishop's Stortford, England
1468 2012 141743 Marietta, GA
269 2115 99032 Newcastle, England
272 1265 133738 Lucca, Italy
894 2245 172309 Milledgeville, IL
2642 1554 137918 Alingss, Sweden
2727 2458 162178 Dublin, Ireland
1353 2499 174176 Modesto, CA
92 736 165071 Vermillion, SD
1678 2930 17498 Chiba, Japan
665 2349 68623 Ndola, Zambia
1779 1471 185836 Murska Sobota, Slovenia
502 443 9734 Englewood, FL
2839 313 134521 Billings, MT
2236 2571 67106 Nelson Bay, NSW, Australia
