2002 955 117166 Aachen, Germany
2982 1224 174060 Aalborg, Denmark
2547 2150 50343 Aarhus, Denmark
2594 1970 164010 Abbotsford, BC, Canada
2260 863 67107 Aberdeen, NC
1270 32 138878 Aberdeen, Scotland
951 715 13569 Aberdeen, WA
50 2371 113409 Aberystwyth, Wales, UK
718 1988 3099 Abilene, TX
1282 2960 170882 Abingdon, VA
794 1962 34533 Abington, MA
2552 1943 116110 Abington, PA
2163 1490 59383 Abu Dhabi, A.D., U.A.E.
2918 1083 190669 Acapulco, Mexico
2378 343 48144 Accra, Ghana
384 1612 50248 Acton, MA
2468 2563 97897 Acworth, GA
2671 2613 55940 Ada, OK
1372 330 188445 Adams, MA
1419 1611 185736 Adel, IA
982 2405 116477 Addis Ababa, Ethiopia
1500 1956 45996 Adelaide, Australia
242 1118 145277 Aden, Yemen (PDR of)
1132 1036 17474 Adrian, MI
992 413 40283 Agana, Guam
1714 797 147719 Aiken, SC
2468 264 118549 Air Force Academy, CO
937 2935 92689 Ajdovscina, Slovenia
1776 1306 114647 Akron, OH
1602 2725 22043 Al-'Ayn, A.D., U.A.E.
1388 706 182352 Al Kharj, Saudi Arabia
136 2206 112739 Alameda, CA
826 2447 187264 Alamogordo, NM
5 578 56270 Alamosa, CO
267 1570 83766 Albacete, Spain
871 284 136858 Albany, NY
87 2752 154424 Albany, GA
1865 688 150032 Albany, W.Australia
255 2463 37092 Albuquerque, NM
1975 1065 18701 Albury, NSW, Australia
2306 2453 65741 Alexander City, AL
2041 2588 12743 Alexandria, LA
732 413 175818 Alexandria, Egypt
541 418 14347 Algiers, Algeria
1385 684 118999 Alice Springs, Australia
2642 1554 137918 Alingss, Sweden
1694 1641 121350 Allegan, MI
1011 505 167193 Allen, TX
261 760 131386 Allen Park, MI
818 2735 2373 Allentown, PA
1098 2040 165889 Alessandria, Italy
2084 1080 138412 Alma, Quebec, Canada
2275 1812 165936 Alpena, MI
1913 2352 193738 Altoona, PA
2128 737 39293 Alturas, CA
