2002 955 117166 Akron, OH
2982 1224 174060 Amherst, OH
2547 2150 50343 Anadarko, OH
2594 1970 164010 Ashtabula, OH
2260 863 67107 Bellefontaine, OH
1270 32 138878 Boardman, OH
951 715 13569 Bolivar, OH
50 2371 113409 Bowling Green, OH
718 1988 3099 Bristolville, OH
1282 2960 170882 Canton, OH
794 1962 34533 Carrollton, OH
2552 1943 116110 Cincinnati, OH
2163 1490 59383 Cleveland, OH
2918 1083 190669 Columbus, OH
2378 343 48144 Conneaut, OH
384 1612 50248 Dayton, OH
2468 2563 97897 Deer Park, OH
2671 2613 55940 Dublin, OH
1372 330 188445 East Liverpool, OH
1419 1611 185736 Elyria, OH
982 2405 116477 Fairfield, OH
1500 1956 45996 Findlay, OH
242 1118 145277 Fremont, OH
1132 1036 17474 Galion, OH
992 413 40283 Gibsonburg, OH
1714 797 147719 Gomer, OH
2468 264 118549 Grand Rapids, OH
937 2935 92689 Hamilton, OH
1776 1306 114647 Harrisville, OH
1602 2725 22043 Heath, OH
1388 706 182352 Hudson, OH
136 2206 112739 Ironton, OH
826 2447 187264 Kirtland, OH
5 578 56270 Lebanon, OH
267 1570 83766 Lima, OH
871 284 136858 Lisbon, OH
87 2752 154424 Macedonia, OH
1865 688 150032 Marietta, OH
255 2463 37092 Marion, OH
1975 1065 18701 Massillon, OH
2306 2453 65741 Mentor, OH
2041 2588 12743 Montpelier, OH
732 413 175818 Oberlin, OH
541 418 14347 Perrysburg, OH
1385 684 118999 Port Clinton, OH
2642 1554 137918 Portsmouth, OH
1694 1641 121350 Richmond Heights, OH
1011 505 167193 Rittman, OH
261 760 131386 Salem, OH
818 2735 2373 Sandusky, OH
1098 2040 165889 Seven Mile, OH
2084 1080 138412 Springfield, OH
2275 1812 165936 Tiffin, OH
1913 2352 193738 Toledo, OH
2128 737 39293 Warren, OH
913 378 142882 Waynesville, OH
2982 2072 52224 Wilmington, OH
1802 82 85867 Wooster, OH
1310 343 136500 Wyoming, OH
280 1160 118770 Xenia, OH
316 2257 54718 Youngstown, OH
2804 1341 126696 Zanesville, OH
